"MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Alley","Lot.Shape","Land.Contour","Lot.Config","Land.Slope","Neighborhood","Condition.1","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Roof.Style","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","Bsmt.Unf.SF","Total.Bsmt.SF","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Gr.Liv.Area","Bedroom.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Fence","SalePrice","Porch.SF","Tot.Bath","House.Age"
"50","Other",60,5160,"No alley","Reg","Lvl","Other","Gtl","IDOTRR","Norm","1Fam","Other",6,6,"Gable","MetalSd","MetalSd","None",0,"TA","Other","Other","TA","TA","No",1204,1204,"TA","Y","Other",1204,462,1666,3,"TA",4,"Typ",0,"No fireplace","Other","Unf","Other","384","Other","TA","Y",0,"No fence",135000,148,1,59
"190","Other",60,10320,"Other","Reg","Other","Inside","Gtl","IDOTRR","Other","Other","Other",6,7,"Gable","MetalSd","MetalSd","None",0,"TA","Other","CBlock","TA","TA","No",160,698,"Ex","Y","Other",754,649,1403,3,"TA",7,"Typ",0,"No fireplace","Other","Unf","Other","308","TA","TA","Y",0,"No fence",116000,288,2.5,44
"20","RL",50,4280,"No alley","Other","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story",4,9,"Gable","MetalSd","MetalSd","None",0,"TA","Other","CBlock","Other","TA","No",560,560,"Ex","Y","Other",704,0,704,2,"Other",4,"Typ",0,"No fireplace","Other","Unf","Other","220","TA","TA","Y",0,"No fence",88750,24,1.5,8
"90","RL",0,10547,"No alley","Other","Lvl","Inside","Gtl","Edwards","Norm","Other","Other",5,5,"Gable","Plywood","Plywood","None",0,"TA","TA","PConc","Gd","Other","Other",0,1152,"TA","Y","SBrkr",1152,0,1152,2,"TA",6,"Typ",0,"No fireplace","Other","Unf","Other","252","TA","Other","Other",0,"No fence",159900,0,4,31
"30","RL",0,10020,"No alley","Other","Other","Inside","Other","Edwards","Norm","1Fam","1Story",1,1,"Gable","Wd Sdng","Wd Sdng","None",0,"Other","Other","Other","Other","Other","Other",333,683,"Other","Other","Other",904,0,904,1,"Other",4,"Other",0,"No fireplace","Other","Other","Other","No garage","Other","Other","Y",0,"No fence",61000,0,1.5,59
"70","Other",54,6629,"No alley","Reg","Lvl","Inside","Gtl","Edwards","Other","1Fam","Other",6,6,"Other","Wd Sdng","Wd Sdng","None",0,"TA","Other","Other","TA","TA","No",121,672,"TA","Other","SBrkr",697,672,1369,3,"TA",6,"Typ",0,"No fireplace","Other","Unf","Other","300","TA","TA","Y",147,"No fence",103600,0,3,59
"50","RL",60,9780,"No alley","Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","Other",5,3,"Gable","MetalSd","MetalSd","None",0,"TA","TA","PConc","TA","TA","No",585,585,"TA","Other","Other",687,425,1112,4,"TA",6,"Typ",0,"No fireplace","Other","Unf","Other","226","Other","Other","Other",0,"No fence",63000,0,3,59
"80","RL",70,12886,"No alley","Other","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","Other",5,6,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Other",76,520,"Ex","Y","SBrkr",1464,0,1464,3,"TA",6,"Other",1,"TA","Attchd","RFn","2","480","TA","TA","Y",302,"No fence",175000,100,2.5,10
"20","RL",80,8816,"No alley","Reg","Lvl","Other","Gtl","Sawyer","Other","1Fam","1Story",5,6,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No",470,1121,"TA","Y","SBrkr",1121,0,1121,3,"TA",5,"Typ",0,"No fireplace","Other","Unf","2","480","TA","TA","Y",0,"Other",139000,80,2,46
"60","RL",70,11184,"No alley","Reg","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","Other",6,5,"Other","HdBoard","HdBoard","Other",92,"TA","TA","CBlock","TA","TA","No",192,918,"Other","Y","SBrkr",918,765,1683,3,"TA",7,"Typ",1,"TA","Attchd","RFn","2","440","TA","TA","Y",243,"No fence",172500,0,2.5,31
"20","RL",65,7800,"No alley","Reg","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,7,"Other","HdBoard","HdBoard","Other",89,"TA","TA","PConc","TA","TA","No",414,864,"Ex","Y","SBrkr",899,0,899,3,"Other",5,"Typ",0,"No fireplace","Attchd","Fin","Other","288","TA","TA","Y",64,"Other",130000,0,1,5
"85","RL",0,8014,"No alley","Other","Lvl","Other","Gtl","Sawyer","Norm","1Fam","Other",6,5,"Gable","Plywood","HdBoard","Other",23,"TA","TA","CBlock","Gd","TA","Other",0,456,"TA","Y","SBrkr",1034,0,1034,3,"TA",5,"Typ",1,"Other","Other","Fin","2","504","TA","TA","Y",0,"No fence",149900,0,1.5,31
"85","RL",0,7252,"No alley","Other","Lvl","Other","Gtl","Sawyer","Norm","1Fam","Other",5,5,"Other","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","Gd","TA","Other",173,858,"TA","Y","SBrkr",858,0,858,2,"TA",5,"Typ",0,"No fireplace","Other","Unf","2","576","TA","TA","Y",120,"No fence",134900,0,2,27
"85","RL",74,8740,"No alley","Other","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","Other",5,6,"Other","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","Other",168,840,"TA","Y","SBrkr",860,0,860,2,"TA",4,"Typ",0,"No fireplace","Other","Unf","2","528","TA","TA","Y",0,"No fence",137000,0,2,27
"20","RL",0,11616,"No alley","Reg","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,5,"Gable","Wd Sdng","Wd Sdng","Other",116,"TA","TA","CBlock","TA","TA","No",252,1092,"TA","Y","SBrkr",1092,0,1092,3,"TA",6,"Typ",1,"Other","Attchd","Unf","Other","288","TA","TA","Y",0,"No fence",139000,164,1.5,47
"80","RL",88,15400,"No alley","Reg","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","Other",5,5,"Other","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","Other","No",552,552,"TA","Y","SBrkr",904,611,1774,4,"TA",8,"Typ",1,"TA","Attchd","Unf","Other","384","TA","TA","Y",290,"No fence",165000,40,2,48
"80","RL",88,15312,"No alley","Reg","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","Other",6,5,"Other","Wd Sdng","Wd Sdng","Other",54,"TA","TA","CBlock","TA","TA","Other",550,1138,"Ex","Y","SBrkr",1138,0,1138,3,"TA",6,"Typ",1,"TA","Attchd","RFn","2","480","TA","TA","Y",0,"Other",148000,140,1.5,49
"80","RL",0,15584,"No alley","Reg","Lvl","Inside","Gtl","ClearCr","Norm","1Fam","Other",5,5,"Other","Wd Sdng","Wd Sdng","Other",366,"TA","TA","CBlock","TA","TA","Other",825,825,"Ex","Y","SBrkr",2071,0,2071,4,"TA",9,"Typ",1,"TA","Attchd","Unf","Other","336","TA","TA","Y",131,"No fence",165000,28,2,53
"20","RL",0,9000,"No alley","Reg","Lvl","Other","Gtl","Sawyer","Norm","1Fam","1Story",2,2,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","Other","Other","Other","Other",0,0,"Other","Other","SBrkr",660,0,660,2,"Other",5,"Other",0,"No fireplace","Other","Other","Other","No garage","Other","Other","Other",0,"No fence",63900,100,1,59
"50","RL",0,11250,"No alley","Reg","Lvl","Inside","Gtl","ClearCr","Norm","1Fam","Other",4,5,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Other",1104,1104,"Ex","Y","Other",1104,684,1788,5,"TA",8,"Other",2,"TA","Attchd","Unf","Other","304","TA","TA","Y",120,"No fence",161500,0,2,20
"20","RL",0,17140,"No alley","Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1Story",4,6,"Gable","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No",75,1134,"Ex","Y","Other",1229,0,1229,3,"TA",6,"Typ",0,"No fireplace","Attchd","RFn","Other","284","TA","TA","Y",0,"No fence",135000,0,1,53
"30","RL",0,12342,"No alley","Other","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1Story",4,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No",599,861,"Ex","Y","SBrkr",861,0,861,1,"TA",4,"Typ",0,"No fireplace","Other","Unf","2","539","TA","TA","Y",158,"No fence",82500,0,1,59
"20","RL",0,10708,"No alley","Other","Lvl","Inside","Gtl","ClearCr","Norm","1Fam","1Story",5,5,"Other","Wd Sdng","Wd Sdng","None",0,"Other","TA","CBlock","TA","TA","No",470,1617,"Ex","Y","Other",1867,0,1867,2,"TA",7,"Typ",3,"Gd","Attchd","Fin","Other","303","TA","TA","Y",476,"Other",190000,142,2,16
"20","RL",0,13680,"No alley","Other","Lvl","Other","Gtl","Edwards","Norm","1Fam","1Story",3,5,"Other","BrkFace","Wd Sdng","None",0,"TA","TA","Other","Other","Other","Other",0,0,"Ex","Y","Other",1733,0,1733,4,"TA",8,"Other",1,"Gd","Attchd","Unf","2","452","TA","TA","Y",0,"No fence",139600,0,2,54
"20","RL",0,15635,"No alley","Other","Lvl","Other","Gtl","Edwards","Norm","1Fam","1Story",4,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Other","Other","Other",0,0,"TA","Y","SBrkr",1383,0,1383,2,"TA",6,"Other",0,"No fireplace","Attchd","Unf","2","498","Other","TA","Y",0,"No fence",122000,200,1,55
"20","RL",73,9855,"No alley","Reg","Lvl","Other","Gtl","Edwards","Norm","1Fam","1Story",6,5,"Other","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No",1436,1436,"Other","Y","SBrkr",1689,0,1689,3,"TA",7,"Typ",1,"Gd","Attchd","Unf","2","480","TA","TA","Y",0,"Other",127500,0,1,53
"20","RL",68,9571,"No alley","Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1Story",5,5,"Other","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No",816,1073,"TA","Y","Other",1073,0,1073,2,"TA",5,"Typ",0,"No fireplace","Attchd","Unf","Other","340","TA","TA","Y",0,"Other",121500,0,2,53
"60","RL",50,9350,"No alley","Reg","Other","Inside","Gtl","Edwards","Norm","1Fam","Other",6,7,"Other","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No",405,747,"Ex","Y","SBrkr",892,747,1639,3,"Other",6,"Typ",1,"Gd","Other","Unf","Other","240","TA","TA","Y",0,"No fence",154400,50,1.5,59
"30","RL",50,9340,"No alley","Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1Story",4,6,"Other","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No",328,672,"TA","Y","SBrkr",672,0,672,2,"TA",4,"Typ",0,"No fireplace","Attchd","Unf","Other","234","TA","TA","Other",0,"No fence",113000,113,2,59
"20","RL",62,7440,"No alley","Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","1Story",5,6,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","Gd","TA","No",916,1089,"TA","Y","SBrkr",1089,0,1089,3,"TA",5,"Typ",1,"Gd","Other","RFn","Other","252","TA","TA","Other",328,"Other",125000,0,2,55
"20","RL",0,11500,"No alley","Other","Lvl","Other","Gtl","Edwards","Norm","1Fam","1Story",4,3,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","Other","Other","Other","Other","Other",0,0,"Ex","Other","SBrkr",845,0,845,3,"TA",5,"Typ",0,"No fireplace","Other","Unf","Other","290","TA","TA","Other",186,"No fence",84000,0,1,52
"120","RL",42,4235,"No alley","Reg","Lvl","Inside","Gtl","Edwards","Norm","Other","1Story",5,5,"Gable","HdBoard","HdBoard","Other",149,"Other","TA","CBlock","Gd","TA","Other",104,1049,"TA","Y","SBrkr",1049,0,1049,2,"Other",5,"Typ",0,"No fireplace","Attchd","Fin","Other","266","TA","TA","Y",0,"No fence",139500,105,3,25
"50","RL",60,11409,"No alley","Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","Other",5,4,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No",476,768,"Other","Y","SBrkr",1148,568,1716,3,"TA",8,"Other",1,"Gd","Attchd","Unf","Other","281","TA","TA","Y",0,"No fence",131000,160,1.5,1
"50","RL",60,9060,"No alley","Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam","Other",6,5,"Gable","WdShing","Wd Shng","None",0,"TA","TA","Other","TA","TA","Other",356,560,"TA","Y","SBrkr",698,560,1258,2,"TA",6,"Typ",0,"No fireplace","Other","Unf","Other","280","TA","TA","Other",0,"Other",105000,0,1,59
"70","RL",60,9084,"No alley","Reg","Lvl","Inside","Gtl","Edwards","Other","1Fam","Other",4,5,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Other",755,755,"TA","Y","SBrkr",755,755,1510,4,"TA",7,"Typ",1,"Gd","Other","Unf","Other","296","Other","Other","Other",120,"Other",108000,0,2,59
"80","RL",74,10778,"No alley","Other","Lvl","Inside","Gtl","SawyerW","Other","1Fam","Other",7,6,"Gable","HdBoard","HdBoard","None",0,"Other","TA","PConc","Gd","TA","No",308,1054,"Other","Y","SBrkr",1061,0,1061,1,"Other",4,"Typ",0,"No fireplace","Attchd","Unf","2","462","TA","TA","Y",114,"No fence",162000,36,2.5,18
"80","RL",66,19255,"No alley","Other","Lvl","Inside","Gtl","SawyerW","Norm","1Fam","Other",6,5,"Gable","Wd Sdng","Wd Sdng","Other",100,"Other","TA","CBlock","Gd","TA","Other",0,520,"Other","Y","SBrkr",1338,0,1338,2,"Other",5,"Other",1,"Other","Attchd","Unf","2","576","TA","TA","Y",0,"No fence",156500,0,1.5,26
"50","RL",79,12327,"No alley","Other","Other","Inside","Other","SawyerW","Norm","1Fam","Other",8,8,"Gable","Wd Sdng","Wd Sdng","None",0,"Other","TA","CBlock","Gd","TA","Other",55,1496,"Ex","Y","SBrkr",1496,636,2132,1,"Other",5,"Other",1,"Gd","Other","Fin","2","612","Other","TA","Y",349,"No fence",316600,40,2.5,0
"20","RL",90,14684,"No alley","Other","Lvl","Other","Gtl","SawyerW","Norm","1Fam","1Story",7,7,"Other","HdBoard","HdBoard","Other",234,"Other","TA","CBlock","Gd","TA","Other",1496,2158,"Other","Y","SBrkr",2196,0,2196,3,"Other",7,"Typ",1,"TA","Attchd","RFn","Other","701","TA","TA","Y",84,"No fence",271900,70,2,18
"60","RL",75,9317,"No alley","Reg","Lvl","Inside","Gtl","SawyerW","Norm","1Fam","Other",7,5,"Gable","HdBoard","HdBoard","Other",137,"Other","TA","PConc","Gd","TA","No",227,740,"Ex","Y","SBrkr",1006,769,1775,3,"Other",7,"Typ",1,"TA","Attchd","Unf","2","425","TA","TA","Y",234,"No fence",213000,264,3.5,16
"60","RL",85,10560,"No alley","Reg","Lvl","Other","Gtl","SawyerW","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","None",0,"Other","Other","PConc","Gd","Other","No",605,1079,"Ex","Y","SBrkr",1079,800,1879,3,"Other",8,"Typ",1,"TA","Attchd","RFn","2","473","TA","TA","Y",400,"Other",239900,244,3.5,15
"60","RL",80,9828,"No alley","Other","Lvl","Inside","Gtl","SawyerW","Norm","1Fam","Other",8,5,"Gable","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No",544,1128,"Ex","Y","SBrkr",1142,878,2020,3,"Other",8,"Typ",1,"TA","Attchd","RFn","2","466","TA","TA","Y",0,"No fence",239500,155,2.5,14
"70","RL",120,26400,"No alley","Reg","Other","Other","Gtl","SawyerW","Other","1Fam","Other",5,7,"Gable","HdBoard","HdBoard","None",0,"Other","TA","PConc","Other","Other","Other",0,0,"Ex","Y","SBrkr",1288,728,2016,4,"TA",7,"Other",1,"TA","Attchd","Unf","2","576","TA","TA","Other",0,"No fence",131000,0,1,2
"90","RL",0,11855,"No alley","Reg","Lvl","Inside","Gtl","SawyerW","Norm","Other","Other",7,5,"Other","VinylSd","VinylSd","Other",23,"TA","TA","PConc","Other","TA","No",348,1168,"Ex","Y","SBrkr",1168,1619,2787,6,"TA",8,"Typ",2,"TA","Other","Fin","Other","820","TA","TA","Y",312,"No fence",269500,0,7,9
"90","RL",0,7939,"No alley","Reg","Lvl","Inside","Gtl","SawyerW","Other","Other","Other",7,5,"Other","VinylSd","VinylSd","Other",23,"TA","TA","PConc","Other","TA","No",348,1168,"Ex","Y","SBrkr",1168,1619,2787,6,"TA",8,"Typ",2,"TA","Other","Fin","Other","820","TA","TA","Y",312,"No fence",269500,0,7,9
"90","RL",0,7976,"No alley","Reg","Lvl","Inside","Gtl","SawyerW","Other","Other","Other",7,5,"Other","VinylSd","VinylSd","Other",23,"TA","TA","PConc","Other","TA","No",348,1168,"Ex","Y","SBrkr",1168,1619,2787,6,"TA",8,"Typ",2,"TA","Other","Fin","Other","820","TA","TA","Y",312,"No fence",269500,0,7,9
"20","RL",79,10637,"No alley","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",8,5,"Other","VinylSd","VinylSd","Other",336,"Other","TA","PConc","Other","TA","Other",417,1705,"Ex","Y","SBrkr",1718,0,1718,3,"Other",7,"Typ",1,"Gd","Attchd","RFn","Other","826","TA","TA","Y",208,"No fence",297000,44,3,1
"20","RL",61,10226,"No alley","Other","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",8,5,"Gable","VinylSd","VinylSd","Other",270,"Other","TA","PConc","Other","TA","Other",1622,1622,"Ex","Y","SBrkr",1630,0,1630,3,"Other",8,"Typ",1,"Gd","Attchd","RFn","Other","860","TA","TA","Y",172,"No fence",295493,42,3,1
"20","RL",65,10816,"No alley","Other","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",9,5,"Gable","VinylSd","VinylSd","Other",364,"Other","TA","PConc","Other","TA","Other",616,1720,"Ex","Y","SBrkr",1720,0,1720,3,"Other",8,"Typ",1,"Gd","Attchd","RFn","Other","846","TA","TA","Y",208,"No fence",332000,104,3,1
"20","RL",71,9178,"No alley","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",8,5,"Gable","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","Other",1468,1468,"Ex","Y","SBrkr",1468,0,1468,3,"Other",6,"Typ",1,"Gd","Attchd","RFn","Other","904","TA","TA","Y",192,"No fence",239900,142,2,1
"60","RL",68,10769,"No alley","Other","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","Other",8,5,"Gable","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","Other",846,866,"Ex","Y","SBrkr",866,902,1768,3,"Other",7,"Typ",0,"No fireplace","Attchd","RFn","2","578","TA","TA","Y",144,"No fence",212000,105,2.5,2
"20","RL",77,11422,"No alley","Other","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",8,5,"Other","VinylSd","VinylSd","Other",352,"Other","TA","PConc","Other","TA","Other",479,1838,"Ex","Y","SBrkr",1838,0,1838,3,"Other",7,"Typ",2,"Gd","Attchd","RFn","2","524","TA","TA","Y",154,"No fence",272500,222,3,1
"20","RL",122,11923,"No alley","Other","Lvl","Other","Gtl","CollgCr","Norm","1Fam","1Story",9,5,"Gable","VinylSd","VinylSd","None",0,"Other","TA","PConc","Other","TA","No",1800,1800,"Ex","Y","SBrkr",1800,0,1800,2,"Other",7,"Typ",0,"No fireplace","Attchd","Fin","2","702","TA","TA","Y",288,"No fence",239000,136,2,2
"20","RL",64,6762,"No alley","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,"Gable","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","Other",380,1282,"Ex","Y","SBrkr",1290,0,1290,2,"Other",6,"Typ",1,"Gd","Attchd","RFn","2","662","TA","TA","Y",168,"No fence",200000,0,3,2
"20","RL",95,10324,"No alley","Other","Lvl","Other","Gtl","CollgCr","Norm","1Fam","1Story",8,5,"Gable","VinylSd","VinylSd","Other",140,"Other","TA","PConc","Gd","TA","Other",382,1254,"Ex","Y","SBrkr",1254,0,1254,2,"Other",5,"Typ",0,"No fireplace","Attchd","RFn","Other","810","TA","TA","Y",168,"No fence",221800,92,3,1
"20","RL",64,7314,"No alley","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,"Gable","VinylSd","VinylSd","Other",82,"Other","TA","PConc","Gd","TA","Other",508,1232,"Ex","Y","SBrkr",1232,0,1232,2,"Other",6,"Typ",0,"No fireplace","Attchd","RFn","2","632","TA","TA","Y",132,"No fence",194500,0,3,2
"20","RL",78,11645,"No alley","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",8,5,"Gable","VinylSd","VinylSd","Other",76,"Other","TA","PConc","Other","TA","Other",1474,1498,"Ex","Y","SBrkr",1498,0,1498,3,"Other",7,"Typ",1,"Gd","Attchd","Fin","Other","844","TA","TA","Y",144,"No fence",237000,98,2,3
"60","RL",79,11646,"No alley","Other","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","Other",6,5,"Gable","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","Other",704,704,"Ex","Y","SBrkr",704,718,1422,3,"Other",7,"Typ",1,"Gd","Attchd","Fin","2","440","TA","TA","Y",36,"No fence",173000,28,2.5,3
"80","RL",0,12800,"No alley","Reg","Other","Inside","Other","SawyerW","Norm","1Fam","Other",7,5,"Gable","Wd Sdng","Wd Sdng","Other",145,"Other","TA","PConc","Gd","TA","Other",0,1518,"Other","Y","SBrkr",1644,0,1644,2,"Other",5,"Typ",1,"TA","Attchd","Fin","2","569","TA","TA","Y",80,"No fence",275000,396,3.5,20
"60","RL",0,16698,"No alley","Other","Other","Other","Other","ClearCr","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","Other",649,1449,"Other","Y","SBrkr",944,815,1759,3,"Other",7,"Typ",1,"TA","Attchd","Unf","2","525","TA","TA","Y",150,"No fence",233500,193,3.5,16
"20","RL",82,12464,"No alley","Other","Other","Other","Other","CollgCr","Norm","1Fam","1Story",5,5,"Gable","VinylSd","VinylSd","None",0,"TA","Other","PConc","Gd","TA","No",308,1040,"Other","Y","SBrkr",1040,0,1040,3,"Other",6,"Typ",0,"No fireplace","Other","Unf","2","576","TA","TA","Y",168,"Other",152000,0,2,13
"20","RL",65,9757,"No alley","Reg","Other","Inside","Other","CollgCr","Norm","1Fam","1Story",5,7,"Gable","VinylSd","VinylSd","None",0,"TA","Other","PConc","TA","TA","No",235,990,"Ex","Y","SBrkr",990,0,990,3,"TA",5,"Typ",0,"No fireplace","Attchd","RFn","Other","440","TA","TA","Y",66,"No fence",143000,92,2,15
"60","RL",65,15426,"No alley","Other","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","Other",6,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No",107,928,"Ex","Y","SBrkr",928,836,1764,3,"Other",7,"Typ",0,"No fireplace","Attchd","RFn","2","470","TA","TA","Y",276,"Other",231500,99,3.5,12
"60","RL",43,10667,"No alley","Other","Lvl","Other","Gtl","CollgCr","Other","1Fam","Other",7,6,"Gable","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","Other",70,799,"Ex","Y","SBrkr",827,834,1661,3,"Other",6,"Typ",1,"TA","Attchd","RFn","2","550","TA","TA","Y",158,"No fence",212000,61,3.5,13
"20","RL",65,14753,"No alley","Other","Other","Inside","Gtl","CollgCr","Other","1Fam","1Story",7,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Other",513,1463,"Ex","Y","SBrkr",1463,0,1463,3,"TA",5,"Typ",0,"No fireplace","Attchd","Fin","2","539","TA","TA","Y",0,"Other",207000,81,3,11
"20","RL",112,10859,"No alley","Reg","Lvl","Other","Gtl","CollgCr","Norm","1Fam","1Story",5,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No",1097,1097,"Ex","Y","SBrkr",1097,0,1097,3,"TA",6,"Typ",0,"No fireplace","Attchd","Unf","2","672","TA","TA","Y",392,"No fence",145000,64,1.5,14
"20","RL",60,8072,"No alley","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",5,5,"Gable","VinylSd","VinylSd","None",0,"TA","Other","PConc","Gd","Other","No",244,990,"Ex","Y","SBrkr",990,0,990,3,"TA",5,"Typ",0,"No fireplace","Other","Unf","2","480","TA","TA","Y",0,"No fence",138000,64,2,14
"60","RL",80,10400,"No alley","Reg","Lvl","Other","Gtl","CollgCr","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Other",866,866,"Ex","Y","SBrkr",866,913,1779,3,"Other",6,"Typ",0,"No fireplace","Attchd","RFn","2","546","TA","TA","Y",198,"No fence",197900,36,2.5,11
"20","RL",78,10335,"No alley","Other","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,"Gable","VinylSd","VinylSd","Other",183,"Other","TA","PConc","Gd","TA","Other",811,1490,"Ex","Y","SBrkr",1501,0,1501,3,"Other",6,"Typ",0,"No fireplace","Attchd","RFn","2","577","TA","TA","Y",144,"No fence",204000,29,3,10
"20","RL",68,9017,"No alley","Other","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,"Gable","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","Other",871,1431,"Ex","Y","SBrkr",1431,0,1431,3,"Other",6,"Typ",0,"No fireplace","Attchd","Fin","2","666","TA","TA","Y",0,"No fence",192000,35,3,10
"60","RL",70,8750,"No alley","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","Other",6,5,"Gable","VinylSd","VinylSd","Other",120,"TA","TA","PConc","Gd","TA","No",322,928,"Ex","Y","SBrkr",928,844,1772,3,"TA",7,"Typ",1,"TA","Attchd","RFn","2","492","TA","TA","Y",150,"No fence",200000,96,3.5,11
"60","RL",68,8935,"No alley","Other","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","Other",95,"Other","TA","PConc","Gd","TA","No",831,831,"Ex","Y","SBrkr",831,829,1660,3,"Other",7,"Typ",0,"No fireplace","Attchd","RFn","2","493","TA","TA","Y",144,"No fence",195000,68,2.5,7
"20","RL",67,9808,"No alley","Other","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,"Gable","VinylSd","VinylSd","Other",110,"Other","TA","PConc","Gd","TA","No",785,1573,"Ex","Y","SBrkr",1573,0,1573,3,"Other",6,"Typ",0,"No fireplace","Attchd","RFn","2","544","TA","TA","Y",0,"No fence",227000,72,3,7
"60","RL",79,12420,"No alley","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","Other",7,5,"Gable","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No",278,944,"Ex","Y","SBrkr",944,896,1840,3,"Other",6,"Typ",0,"No fireplace","Attchd","RFn","2","622","TA","TA","Y",0,"No fence",230000,45,3.5,8
