"","pclass","survived","name","sex","age","sibsp","parch","ticket","fare","cabin","embarked"
"284",3,1,"Dorking, Mr. Edward Arthur","male",19,0,0,"A/5. 10482",8.05,"","S"
"285",1,0,"Smith, Mr. Richard William","male",NA,0,0,"113056",26,"A19","S"
"286",3,0,"Stankovic, Mr. Ivan","male",33,0,0,"349239",8.6625,"","C"
"287",3,1,"de Mulder, Mr. Theodore","male",30,0,0,"345774",9.5,"","S"
"288",3,0,"Naidenoff, Mr. Penko","male",22,0,0,"349206",7.8958,"","S"
"289",2,1,"Hosono, Mr. Masabumi","male",42,0,0,"237798",13,"","S"
"290",3,1,"Connolly, Miss. Kate","female",22,0,0,"370373",7.75,"","Q"
"291",1,1,"Barber, Miss. Ellen ""Nellie""","female",26,0,0,"19877",78.85,"","S"
"292",1,1,"Bishop, Mrs. Dickinson H (Helen Walton)","female",19,1,0,"11967",91.0792,"B49","C"
"293",2,0,"Levy, Mr. Rene Jacques","male",36,0,0,"SC/Paris 2163",12.875,"D","C"
"294",3,0,"Haas, Miss. Aloisia","female",24,0,0,"349236",8.85,"","S"
"295",3,0,"Mineff, Mr. Ivan","male",24,0,0,"349233",7.8958,"","S"
"296",1,0,"Lewy, Mr. Ervin G","male",NA,0,0,"PC 17612",27.7208,"","C"
"297",3,0,"Hanna, Mr. Mansour","male",23.5,0,0,"2693",7.2292,"","C"
"298",1,0,"Allison, Miss. Helen Loraine","female",2,1,2,"113781",151.55,"C22 C26","S"
"299",1,1,"Saalfeld, Mr. Adolphe","male",NA,0,0,"19988",30.5,"C106","S"
"300",1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)","female",50,0,1,"PC 17558",247.5208,"B58 B60","C"
"301",3,1,"Kelly, Miss. Anna Katherine ""Annie Kate""","female",NA,0,0,"9234",7.75,"","Q"
"302",3,1,"McCoy, Mr. Bernard","male",NA,2,0,"367226",23.25,"","Q"
"303",3,0,"Johnson, Mr. William Cahoone Jr","male",19,0,0,"LINE",0,"","S"
"304",2,1,"Keane, Miss. Nora A","female",NA,0,0,"226593",12.35,"E101","Q"
"305",3,0,"Williams, Mr. Howard Hugh ""Harry""","male",NA,0,0,"A/5 2466",8.05,"","S"
"306",1,1,"Allison, Master. Hudson Trevor","male",0.92,1,2,"113781",151.55,"C22 C26","S"
"307",1,1,"Fleming, Miss. Margaret","female",NA,0,0,"17421",110.8833,"","C"
"308",1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)","female",17,1,0,"PC 17758",108.9,"C65","C"
"309",2,0,"Abelson, Mr. Samuel","male",30,1,0,"P/PP 3381",24,"","C"
"310",1,1,"Francatelli, Miss. Laura Mabel","female",30,0,0,"PC 17485",56.9292,"E36","C"
"311",1,1,"Hays, Miss. Margaret Bechstein","female",24,0,0,"11767",83.1583,"C54","C"
"312",1,1,"Ryerson, Miss. Emily Borie","female",18,2,2,"PC 17608",262.375,"B57 B59 B63 B66","C"
"313",2,0,"Lahtinen, Mrs. William (Anna Sylfven)","female",26,1,1,"250651",26,"","S"
"314",3,0,"Hendekovic, Mr. Ignjac","male",28,0,0,"349243",7.8958,"","S"
"315",2,0,"Hart, Mr. Benjamin","male",43,1,1,"F.C.C. 13529",26.25,"","S"
"316",3,1,"Nilsson, Miss. Helmina Josefina","female",26,0,0,"347470",7.8542,"","S"
"317",2,1,"Kantor, Mrs. Sinai (Miriam Sternin)","female",24,1,0,"244367",26,"","S"
"318",2,0,"Moraweck, Dr. Ernest","male",54,0,0,"29011",14,"","S"
"319",1,1,"Wick, Miss. Mary Natalie","female",31,0,2,"36928",164.8667,"C7","S"
"320",1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)","female",40,1,1,"16966",134.5,"E34","C"
"321",3,0,"Dennis, Mr. Samuel","male",22,0,0,"A/5 21172",7.25,"","S"
"322",3,0,"Danoff, Mr. Yoto","male",27,0,0,"349219",7.8958,"","S"
"323",2,1,"Slayter, Miss. Hilda Mary","female",30,0,0,"234818",12.35,"","Q"
"324",2,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)","female",22,1,1,"248738",29,"","S"
"325",3,0,"Sage, Mr. George John Jr","male",NA,8,2,"CA. 2343",69.55,"","S"
"326",1,1,"Young, Miss. Marie Grice","female",36,0,0,"PC 17760",135.6333,"C32","C"
"327",3,0,"Nysveen, Mr. Johan Hansen","male",61,0,0,"345364",6.2375,"","S"
"328",2,1,"Ball, Mrs. (Ada E Hall)","female",36,0,0,"28551",13,"D","S"
"329",3,1,"Goldsmith, Mrs. Frank John (Emily Alice Brown)","female",31,1,1,"363291",20.525,"","S"
"330",1,1,"Hippach, Miss. Jean Gertrude","female",16,0,1,"111361",57.9792,"B18","C"
"331",3,1,"McCoy, Miss. Agnes","female",NA,2,0,"367226",23.25,"","Q"
"332",1,0,"Partner, Mr. Austen","male",45.5,0,0,"113043",28.5,"C124","S"
"333",1,0,"Graham, Mr. George Edward","male",38,0,1,"PC 17582",153.4625,"C91","S"
"334",3,0,"Vander Planke, Mr. Leo Edmondus","male",16,2,0,"345764",18,"","S"
"335",1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)","female",NA,1,0,"PC 17611",133.65,"","S"
"336",3,0,"Denkoff, Mr. Mitto","male",NA,0,0,"349225",7.8958,"","S"
"337",1,0,"Pears, Mr. Thomas Clinton","male",29,1,0,"113776",66.6,"C2","S"
"338",1,1,"Burns, Miss. Elizabeth Margaret","female",41,0,0,"16966",134.5,"E40","C"
"339",3,1,"Dahl, Mr. Karl Edwart","male",45,0,0,"7598",8.05,"","S"
"340",1,0,"Blackwell, Mr. Stephen Weart","male",45,0,0,"113784",35.5,"T","S"
"341",2,1,"Navratil, Master. Edmond Roger","male",2,1,1,"230080",26,"F2","S"
"342",1,1,"Fortune, Miss. Alice Elizabeth","female",24,3,2,"19950",263,"C23 C25 C27","S"
"343",2,0,"Collander, Mr. Erik Gustaf","male",28,0,0,"248740",13,"","S"
"344",2,0,"Sedgwick, Mr. Charles Frederick Waddington","male",25,0,0,"244361",13,"","S"
"345",2,0,"Fox, Mr. Stanley Hubert","male",36,0,0,"229236",13,"","S"
"346",2,1,"Brown, Miss. Amelia ""Mildred""","female",24,0,0,"248733",13,"F33","S"
"347",2,1,"Smith, Miss. Marion Elsie","female",40,0,0,"31418",13,"","S"
"348",3,1,"Davison, Mrs. Thomas Henry (Mary E Finck)","female",NA,1,0,"386525",16.1,"","S"
"349",3,1,"Coutts, Master. William Loch ""William""","male",3,1,1,"C.A. 37671",15.9,"","S"
"350",3,0,"Dimic, Mr. Jovan","male",42,0,0,"315088",8.6625,"","S"
"351",3,0,"Odahl, Mr. Nils Martin","male",23,0,0,"7267",9.225,"","S"
"352",1,0,"Williams-Lambert, Mr. Fletcher Fellows","male",NA,0,0,"113510",35,"C128","S"
"353",3,0,"Elias, Mr. Tannous","male",15,1,1,"2695",7.2292,"","C"
"354",3,0,"Arnold-Franchi, Mr. Josef","male",25,1,0,"349237",17.8,"","S"
"355",3,0,"Yousif, Mr. Wazli","male",NA,0,0,"2647",7.225,"","C"
"356",3,0,"Vanden Steen, Mr. Leo Peter","male",28,0,0,"345783",9.5,"","S"
"357",1,1,"Bowerman, Miss. Elsie Edith","female",22,0,1,"113505",55,"E33","S"
"358",2,0,"Funk, Miss. Annie Clemmer","female",38,0,0,"237671",13,"","S"
"359",3,1,"McGovern, Miss. Mary","female",NA,0,0,"330931",7.8792,"","Q"
"360",3,1,"Mockler, Miss. Helen Mary ""Ellie""","female",NA,0,0,"330980",7.8792,"","Q"
"361",3,0,"Skoog, Mr. Wilhelm","male",40,1,4,"347088",27.9,"","S"
"362",2,0,"del Carlo, Mr. Sebastiano","male",29,1,0,"SC/PARIS 2167",27.7208,"","C"
"363",3,0,"Barbara, Mrs. (Catherine David)","female",45,0,1,"2691",14.4542,"","C"
"364",3,0,"Asim, Mr. Adola","male",35,0,0,"SOTON/O.Q. 3101310",7.05,"","S"
"365",3,0,"O'Brien, Mr. Thomas","male",NA,1,0,"370365",15.5,"","Q"
"366",3,0,"Adahl, Mr. Mauritz Nils Martin","male",30,0,0,"C 7076",7.25,"","S"
"367",1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)","female",60,1,0,"110813",75.25,"D37","C"
"368",3,1,"Moussa, Mrs. (Mantoura Boulos)","female",NA,0,0,"2626",7.2292,"","C"
"369",3,1,"Jermyn, Miss. Annie","female",NA,0,0,"14313",7.75,"","Q"
"370",1,1,"Aubart, Mme. Leontine Pauline","female",24,0,0,"PC 17477",69.3,"B35","C"
"371",1,1,"Harder, Mr. George Achilles","male",25,1,0,"11765",55.4417,"E50","C"
"372",3,0,"Wiklund, Mr. Jakob Alfred","male",18,1,0,"3101267",6.4958,"","S"
"373",3,0,"Beavan, Mr. William Thomas","male",19,0,0,"323951",8.05,"","S"
"374",1,0,"Ringhini, Mr. Sante","male",22,0,0,"PC 17760",135.6333,"","C"
"375",3,0,"Palsson, Miss. Stina Viola","female",3,3,1,"349909",21.075,"","S"
"376",1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)","female",NA,1,0,"PC 17604",82.1708,"","C"
"377",3,1,"Landergren, Miss. Aurora Adelia","female",22,0,0,"C 7077",7.25,"","S"
"378",1,0,"Widener, Mr. Harry Elkins","male",27,0,2,"113503",211.5,"C82","C"
"379",3,0,"Betros, Mr. Tannous","male",20,0,0,"2648",4.0125,"","C"
"380",3,0,"Gustafsson, Mr. Karl Gideon","male",19,0,0,"347069",7.775,"","S"
"381",1,1,"Bidois, Miss. Rosalie","female",42,0,0,"PC 17757",227.525,"","C"
"382",3,1,"Nakid, Miss. Maria (""Mary"")","female",1,0,2,"2653",15.7417,"","C"
"383",3,0,"Tikkanen, Mr. Juho","male",32,0,0,"STON/O 2. 3101293",7.925,"","S"
"384",1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)","female",35,1,0,"113789",52,"","S"
"385",3,0,"Plotcharsky, Mr. Vasil","male",NA,0,0,"349227",7.8958,"","S"
"386",2,0,"Davies, Mr. Charles Henry","male",18,0,0,"S.O.C. 14879",73.5,"","S"
"387",3,0,"Goodwin, Master. Sidney Leonard","male",1,5,2,"CA 2144",46.9,"","S"
"388",2,1,"Buss, Miss. Kate","female",36,0,0,"27849",13,"","S"
"389",3,0,"Sadlier, Mr. Matthew","male",NA,0,0,"367655",7.7292,"","Q"
"390",2,1,"Lehmann, Miss. Bertha","female",17,0,0,"SC 1748",12,"","C"
"391",1,1,"Carter, Mr. William Ernest","male",36,1,2,"113760",120,"B96 B98","S"
"392",3,1,"Jansson, Mr. Carl Olof","male",21,0,0,"350034",7.7958,"","S"
"393",3,0,"Gustafsson, Mr. Johan Birger","male",28,2,0,"3101277",7.925,"","S"
"394",1,1,"Newell, Miss. Marjorie","female",23,1,0,"35273",113.275,"D36","C"
"395",3,1,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)","female",24,0,2,"PP 9549",16.7,"G6","S"
"396",3,0,"Johansson, Mr. Erik","male",22,0,0,"350052",7.7958,"","S"
"397",3,0,"Olsson, Miss. Elina","female",31,0,0,"350407",7.8542,"","S"
"398",2,0,"McKane, Mr. Peter David","male",46,0,0,"28403",26,"","S"
"399",2,0,"Pain, Dr. Alfred","male",23,0,0,"244278",10.5,"","S"
"400",2,1,"Trout, Mrs. William H (Jessie L)","female",28,0,0,"240929",12.65,"","S"
"401",3,1,"Niskanen, Mr. Juha","male",39,0,0,"STON/O 2. 3101289",7.925,"","S"
"402",3,0,"Adams, Mr. John","male",26,0,0,"341826",8.05,"","S"
"403",3,0,"Jussila, Miss. Mari Aina","female",21,1,0,"4137",9.825,"","S"
"404",3,0,"Hakkarainen, Mr. Pekka Pietari","male",28,1,0,"STON/O2. 3101279",15.85,"","S"
"405",3,0,"Oreskovic, Miss. Marija","female",20,0,0,"315096",8.6625,"","S"
"406",2,0,"Gale, Mr. Shadrach","male",34,1,0,"28664",21,"","S"
"407",3,0,"Widegren, Mr. Carl/Charles Peter","male",51,0,0,"347064",7.75,"","S"
"408",2,1,"Richards, Master. William Rowe","male",3,1,1,"29106",18.75,"","S"
"409",3,0,"Birkeland, Mr. Hans Martin Monsen","male",21,0,0,"312992",7.775,"","S"
"410",3,0,"Lefebre, Miss. Ida","female",NA,3,1,"4133",25.4667,"","S"
"411",3,0,"Sdycoff, Mr. Todor","male",NA,0,0,"349222",7.8958,"","S"
"412",3,0,"Hart, Mr. Henry","male",NA,0,0,"394140",6.8583,"","Q"
"413",1,1,"Minahan, Miss. Daisy E","female",33,1,0,"19928",90,"C78","Q"
"414",2,0,"Cunningham, Mr. Alfred Fleming","male",NA,0,0,"239853",0,"","S"
"415",3,1,"Sundman, Mr. Johan Julian","male",44,0,0,"STON/O 2. 3101269",7.925,"","S"
"416",3,0,"Meek, Mrs. Thomas (Annie Louise Rowley)","female",NA,0,0,"343095",8.05,"","S"
"417",2,1,"Drew, Mrs. James Vivian (Lulu Thorne Christian)","female",34,1,1,"28220",32.5,"","S"
"418",2,1,"Silven, Miss. Lyyli Karoliina","female",18,0,2,"250652",13,"","S"
"419",2,0,"Matthews, Mr. William John","male",30,0,0,"28228",13,"","S"
"420",3,0,"Van Impe, Miss. Catharina","female",10,0,2,"345773",24.15,"","S"
"421",3,0,"Gheorgheff, Mr. Stanio","male",NA,0,0,"349254",7.8958,"","C"
"422",3,0,"Charters, Mr. David","male",21,0,0,"A/5. 13032",7.7333,"","Q"
"423",3,0,"Zimmerman, Mr. Leo","male",29,0,0,"315082",7.875,"","S"
"424",3,0,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)","female",28,1,1,"347080",14.4,"","S"
"425",3,0,"Rosblom, Mr. Viktor Richard","male",18,1,1,"370129",20.2125,"","S"
"426",3,0,"Wiseman, Mr. Phillippe","male",NA,0,0,"A/4. 34244",7.25,"","S"
"427",2,1,"Clarke, Mrs. Charles V (Ada Maria Winfield)","female",28,1,0,"2003",26,"","S"
"428",2,1,"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")","female",19,0,0,"250655",26,"","S"
"429",3,0,"Flynn, Mr. James","male",NA,0,0,"364851",7.75,"","Q"
"430",3,1,"Pickard, Mr. Berk (Berk Trembisky)","male",32,0,0,"SOTON/O.Q. 392078",8.05,"E10","S"
"431",1,1,"Bjornstrom-Steffansson, Mr. Mauritz Hakan","male",28,0,0,"110564",26.55,"C52","S"
"432",3,1,"Thorneycroft, Mrs. Percival (Florence Kate White)","female",NA,1,0,"376564",16.1,"","S"
"433",2,1,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)","female",42,1,0,"SC/AH 3085",26,"","S"
"434",3,0,"Kallio, Mr. Nikolai Erland","male",17,0,0,"STON/O 2. 3101274",7.125,"","S"
"435",1,0,"Silvey, Mr. William Baird","male",50,1,0,"13507",55.9,"E44","S"
"436",1,1,"Carter, Miss. Lucile Polk","female",14,1,2,"113760",120,"B96 B98","S"
"437",3,0,"Ford, Miss. Doolina Margaret ""Daisy""","female",21,2,2,"W./C. 6608",34.375,"","S"
"438",2,1,"Richards, Mrs. Sidney (Emily Hocking)","female",24,2,3,"29106",18.75,"","S"
"439",1,0,"Fortune, Mr. Mark","male",64,1,4,"19950",263,"C23 C25 C27","S"
"440",2,0,"Kvillner, Mr. Johan Henrik Johannesson","male",31,0,0,"C.A. 18723",10.5,"","S"
"441",2,1,"Hart, Mrs. Benjamin (Esther Ada Bloomfield)","female",45,1,1,"F.C.C. 13529",26.25,"","S"
"442",3,0,"Hampe, Mr. Leon","male",20,0,0,"345769",9.5,"","S"
"443",3,0,"Petterson, Mr. Johan Emil","male",25,1,0,"347076",7.775,"","S"
"444",2,1,"Reynaldo, Ms. Encarnacion","female",28,0,0,"230434",13,"","S"
"445",3,1,"Johannesen-Bratthammer, Mr. Bernt","male",NA,0,0,"65306",8.1125,"","S"
"446",1,1,"Dodge, Master. Washington","male",4,0,2,"33638",81.8583,"A34","S"
"447",2,1,"Mellinger, Miss. Madeleine Violet","female",13,0,1,"250644",19.5,"","S"
"448",1,1,"Seward, Mr. Frederic Kimber","male",34,0,0,"113794",26.55,"","S"
"449",3,1,"Baclini, Miss. Marie Catherine","female",5,2,1,"2666",19.2583,"","C"
"450",1,1,"Peuchen, Major. Arthur Godfrey","male",52,0,0,"113786",30.5,"C104","S"
"451",2,0,"West, Mr. Edwy Arthur","male",36,1,2,"C.A. 34651",27.75,"","S"
"452",3,0,"Hagland, Mr. Ingvald Olai Olsen","male",NA,1,0,"65303",19.9667,"","S"
"453",1,0,"Foreman, Mr. Benjamin Laventall","male",30,0,0,"113051",27.75,"C111","C"
"454",1,1,"Goldenberg, Mr. Samuel L","male",49,1,0,"17453",89.1042,"C92","C"
"455",3,0,"Peduzzi, Mr. Joseph","male",NA,0,0,"A/5 2817",8.05,"","S"
"456",3,1,"Jalsevac, Mr. Ivan","male",29,0,0,"349240",7.8958,"","C"
"457",1,0,"Millet, Mr. Francis Davis","male",65,0,0,"13509",26.55,"E38","S"
"458",1,1,"Kenyon, Mrs. Frederick R (Marion)","female",NA,1,0,"17464",51.8625,"D21","S"
"459",2,1,"Toomey, Miss. Ellen","female",50,0,0,"F.C.C. 13531",10.5,"","S"
"460",3,0,"O'Connor, Mr. Maurice","male",NA,0,0,"371060",7.75,"","Q"
"461",1,1,"Anderson, Mr. Harry","male",48,0,0,"19952",26.55,"E12","S"
"462",3,0,"Morley, Mr. William","male",34,0,0,"364506",8.05,"","S"
"463",1,0,"Gee, Mr. Arthur H","male",47,0,0,"111320",38.5,"E63","S"
"464",2,0,"Milling, Mr. Jacob Christian","male",48,0,0,"234360",13,"","S"
"465",3,0,"Maisner, Mr. Simon","male",NA,0,0,"A/S 2816",8.05,"","S"
"466",3,0,"Goncalves, Mr. Manuel Estanslas","male",38,0,0,"SOTON/O.Q. 3101306",7.05,"","S"
"467",2,0,"Campbell, Mr. William","male",NA,0,0,"239853",0,"","S"
"468",1,0,"Smart, Mr. John Montgomery","male",56,0,0,"113792",26.55,"","S"
"469",3,0,"Scanlan, Mr. James","male",NA,0,0,"36209",7.725,"","Q"
"470",3,1,"Baclini, Miss. Helene Barbara","female",0.75,2,1,"2666",19.2583,"","C"
"471",3,0,"Keefe, Mr. Arthur","male",NA,0,0,"323592",7.25,"","S"
"472",3,0,"Cacic, Mr. Luka","male",38,0,0,"315089",8.6625,"","S"
"473",2,1,"West, Mrs. Edwy Arthur (Ada Mary Worth)","female",33,1,2,"C.A. 34651",27.75,"","S"
"474",2,1,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)","female",23,0,0,"SC/AH Basle 541",13.7917,"D","C"
"475",3,0,"Strandberg, Miss. Ida Sofia","female",22,0,0,"7553",9.8375,"","S"
"476",1,0,"Clifford, Mr. George Quincy","male",NA,0,0,"110465",52,"A14","S"
"477",2,0,"Renouf, Mr. Peter Henry","male",34,1,0,"31027",21,"","S"
"478",3,0,"Braund, Mr. Lewis Richard","male",29,1,0,"3460",7.0458,"","S"
"479",3,0,"Karlsson, Mr. Nils August","male",22,0,0,"350060",7.5208,"","S"
"480",3,1,"Hirvonen, Miss. Hildur E","female",2,0,1,"3101298",12.2875,"","S"
"481",3,0,"Goodwin, Master. Harold Victor","male",9,5,2,"CA 2144",46.9,"","S"
"482",2,0,"Frost, Mr. Anthony Wood ""Archie""","male",NA,0,0,"239854",0,"","S"
"483",3,0,"Rouse, Mr. Richard Henry","male",50,0,0,"A/5 3594",8.05,"","S"
"484",3,1,"Turkula, Mrs. (Hedwig)","female",63,0,0,"4134",9.5875,"","S"
"485",1,1,"Bishop, Mr. Dickinson H","male",25,1,0,"11967",91.0792,"B49","C"
"486",3,0,"Lefebre, Miss. Jeannie","female",NA,3,1,"4133",25.4667,"","S"
"487",1,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)","female",35,1,0,"19943",90,"C93","S"
"488",1,0,"Kent, Mr. Edward Austin","male",58,0,0,"11771",29.7,"B37","C"
"489",3,0,"Somerton, Mr. Francis William","male",30,0,0,"A.5. 18509",8.05,"","S"
"490",3,1,"Coutts, Master. Eden Leslie ""Neville""","male",9,1,1,"C.A. 37671",15.9,"","S"
"491",3,0,"Hagland, Mr. Konrad Mathias Reiersen","male",NA,1,0,"65304",19.9667,"","S"
"492",3,0,"Windelov, Mr. Einar","male",21,0,0,"SOTON/OQ 3101317",7.25,"","S"
"493",1,0,"Molson, Mr. Harry Markland","male",55,0,0,"113787",30.5,"C30","S"
"494",1,0,"Artagaveytia, Mr. Ramon","male",71,0,0,"PC 17609",49.5042,"","C"
"495",3,0,"Stanley, Mr. Edward Roland","male",21,0,0,"A/4 45380",8.05,"","S"
"496",3,0,"Yousseff, Mr. Gerious","male",NA,0,0,"2627",14.4583,"","C"
"497",1,1,"Eustis, Miss. Elizabeth Mussey","female",54,1,0,"36947",78.2667,"D20","C"
"498",3,0,"Shellard, Mr. Frederick William","male",NA,0,0,"C.A. 6212",15.1,"","S"
"499",1,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)","female",25,1,2,"113781",151.55,"C22 C26","S"
"500",3,0,"Svensson, Mr. Olof","male",24,0,0,"350035",7.7958,"","S"
"501",3,0,"Calic, Mr. Petar","male",17,0,0,"315086",8.6625,"","S"
"502",3,0,"Canavan, Miss. Mary","female",21,0,0,"364846",7.75,"","Q"
"503",3,0,"O'Sullivan, Miss. Bridget Mary","female",NA,0,0,"330909",7.6292,"","Q"
"504",3,0,"Laitinen, Miss. Kristina Sofia","female",37,0,0,"4135",9.5875,"","S"
"505",1,1,"Maioni, Miss. Roberta","female",16,0,0,"110152",86.5,"B79","S"
"506",1,0,"Penasco y Castellana, Mr. Victor de Satode","male",18,1,0,"PC 17758",108.9,"C65","C"
"507",2,1,"Quick, Mrs. Frederick Charles (Jane Richards)","female",33,0,2,"26360",26,"","S"
"508",1,1,"Bradley, Mr. George (""George Arthur Brayton"")","male",NA,0,0,"111427",26.55,"","S"
"509",3,0,"Olsen, Mr. Henry Margido","male",28,0,0,"C 4001",22.525,"","S"
"510",3,1,"Lang, Mr. Fang","male",26,0,0,"1601",56.4958,"","S"
"511",3,1,"Daly, Mr. Eugene Patrick","male",29,0,0,"382651",7.75,"","Q"
"512",3,0,"Webber, Mr. James","male",NA,0,0,"SOTON/OQ 3101316",8.05,"","S"
"513",1,1,"McGough, Mr. James Robert","male",36,0,0,"PC 17473",26.2875,"E25","S"
"514",1,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)","female",54,1,0,"PC 17603",59.4,"","C"
"515",3,0,"Coleff, Mr. Satio","male",24,0,0,"349209",7.4958,"","S"
"516",1,0,"Walker, Mr. William Anderson","male",47,0,0,"36967",34.0208,"D46","S"
"517",2,1,"Lemore, Mrs. (Amelia Milley)","female",34,0,0,"C.A. 34260",10.5,"F33","S"
"518",3,0,"Ryan, Mr. Patrick","male",NA,0,0,"371110",24.15,"","Q"
"519",2,1,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)","female",36,1,0,"226875",26,"","S"
"520",3,0,"Pavlovic, Mr. Stefo","male",32,0,0,"349242",7.8958,"","S"
"521",1,1,"Perreault, Miss. Anne","female",30,0,0,"12749",93.5,"B73","S"
"522",3,0,"Vovk, Mr. Janko","male",22,0,0,"349252",7.8958,"","S"
"523",3,0,"Lahoud, Mr. Sarkis","male",NA,0,0,"2624",7.225,"","C"
"524",1,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)","female",44,0,1,"111361",57.9792,"B18","C"
"525",3,0,"Kassem, Mr. Fared","male",NA,0,0,"2700",7.2292,"","C"
"526",3,0,"Farrell, Mr. James","male",40.5,0,0,"367232",7.75,"","Q"
"527",2,1,"Ridsdale, Miss. Lucy","female",50,0,0,"W./C. 14258",10.5,"","S"
"528",1,0,"Farthing, Mr. John","male",NA,0,0,"PC 17483",221.7792,"C95","S"
"529",3,0,"Salonen, Mr. Johan Werner","male",39,0,0,"3101296",7.925,"","S"
"530",2,0,"Hocking, Mr. Richard George","male",23,2,1,"29104",11.5,"","S"
"531",2,1,"Quick, Miss. Phyllis May","female",2,1,1,"26360",26,"","S"
"532",3,0,"Toufik, Mr. Nakli","male",NA,0,0,"2641",7.2292,"","C"
"533",3,0,"Elias, Mr. Joseph Jr","male",17,1,1,"2690",7.2292,"","C"
"534",3,1,"Peter, Mrs. Catherine (Catherine Rizk)","female",NA,0,2,"2668",22.3583,"","C"
"535",3,0,"Cacic, Miss. Marija","female",30,0,0,"315084",8.6625,"","S"
"536",2,1,"Hart, Miss. Eva Miriam","female",7,0,2,"F.C.C. 13529",26.25,"","S"
"537",1,0,"Butt, Major. Archibald Willingham","male",45,0,0,"113050",26.55,"B38","S"
"538",1,1,"LeRoy, Miss. Bertha","female",30,0,0,"PC 17761",106.425,"","C"
"539",3,0,"Risien, Mr. Samuel Beard","male",NA,0,0,"364498",14.5,"","S"
"540",1,1,"Frolicher, Miss. Hedwig Margaritha","female",22,0,2,"13568",49.5,"B39","C"
"541",1,1,"Crosby, Miss. Harriet R","female",36,0,2,"WE/P 5735",71,"B22","S"
"542",3,0,"Andersson, Miss. Ingeborg Constanzia","female",9,4,2,"347082",31.275,"","S"
"543",3,0,"Andersson, Miss. Sigrid Elisabeth","female",11,4,2,"347082",31.275,"","S"
"544",2,1,"Beane, Mr. Edward","male",32,1,0,"2908",26,"","S"
"545",1,0,"Douglas, Mr. Walter Donald","male",50,1,0,"PC 17761",106.425,"C86","C"
"546",1,0,"Nicholson, Mr. Arthur Ernest","male",64,0,0,"693",26,"","S"
"547",2,1,"Beane, Mrs. Edward (Ethel Clarke)","female",19,1,0,"2908",26,"","S"
"548",2,1,"Padro y Manent, Mr. Julian","male",NA,0,0,"SC/PARIS 2146",13.8625,"","C"
"549",3,0,"Goldsmith, Mr. Frank John","male",33,1,1,"363291",20.525,"","S"
"550",2,1,"Davies, Master. John Morgan Jr","male",8,1,1,"C.A. 33112",36.75,"","S"
"551",1,1,"Thayer, Mr. John Borland Jr","male",17,0,2,"17421",110.8833,"C70","C"
"552",2,0,"Sharp, Mr. Percival James R","male",27,0,0,"244358",26,"","S"
"553",3,0,"O'Brien, Mr. Timothy","male",NA,0,0,"330979",7.8292,"","Q"
"554",3,1,"Leeni, Mr. Fahim (""Philip Zenni"")","male",22,0,0,"2620",7.225,"","C"
"555",3,1,"Ohman, Miss. Velin","female",22,0,0,"347085",7.775,"","S"
"556",1,0,"Wright, Mr. George","male",62,0,0,"113807",26.55,"","S"
"557",1,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")","female",48,1,0,"11755",39.6,"A16","C"
"558",1,0,"Robbins, Mr. Victor","male",NA,0,0,"PC 17757",227.525,"","C"
"559",1,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)","female",39,1,1,"110413",79.65,"E67","S"
"560",3,1,"de Messemaeker, Mrs. Guillaume Joseph (Emma)","female",36,1,0,"345572",17.4,"","S"
"561",3,0,"Morrow, Mr. Thomas Rowan","male",NA,0,0,"372622",7.75,"","Q"
"562",3,0,"Sivic, Mr. Husein","male",40,0,0,"349251",7.8958,"","S"
"563",2,0,"Norman, Mr. Robert Douglas","male",28,0,0,"218629",13.5,"","S"
"564",3,0,"Simmons, Mr. John","male",NA,0,0,"SOTON/OQ 392082",8.05,"","S"
"565",3,0,"Meanwell, Miss. (Marion Ogden)","female",NA,0,0,"SOTON/O.Q. 392087",8.05,"","S"
"566",3,0,"Davies, Mr. Alfred J","male",24,2,0,"A/4 48871",24.15,"","S"
"567",3,0,"Stoytcheff, Mr. Ilia","male",19,0,0,"349205",7.8958,"","S"
