"MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Alley","Lot.Shape","Land.Contour","Utilities","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","Bsmt.Exposure","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.Type.2","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","Electrical","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Fireplace.Qu","Garage.Type","Garage.Finish","Garage.Cars","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Pool.QC","Fence","Misc.Feature","Misc.Val","Mo.Sold","Yr.Sold","SalePrice","Porch.SF","Tot.Bath","House.Age"
"60","RL",71,7795,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",7,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No","GLQ",425,"Unf",0,291,716,"GasA","Ex","Y","SBrkr",716,716,0,1432,1,0,2,1,3,1,"Other",6,"Typ",1,"Gd","Attchd","Fin","2","TA","TA","Y",100,51,0,0,0,0,"No","No fence","None",0,7,2009,188500,51,3.5,4
"60","RL",0,8068,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",6,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1010,1010,"GasA","Ex","Y","SBrkr",1010,1257,0,2267,0,0,2,1,4,1,"Other",8,"Typ",1,"TA","Other","RFn","2","TA","TA","Y",120,46,0,0,0,0,"No","No fence","None",0,12,2009,200000,46,2.5,7
"80","RL",59,9434,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",7,5,2004,2005,"Gable","CompShg","WdShing","Wd Shng","None",0,"Other","TA","PConc","Gd","TA","Other","Unf",0,"Unf",0,384,384,"GasA","Ex","Y","SBrkr",744,630,0,1374,0,0,2,1,3,1,"Other",6,"Typ",1,"Gd","Other","Fin","2","TA","TA","Y",100,0,0,0,0,0,"No","No fence","None",0,8,2009,170000,0,2.5,4
"60","RL",62,7984,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",7,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Other",200,"Other","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,868,868,"GasA","Ex","Y","SBrkr",868,762,0,1630,0,0,2,1,3,1,"Other",7,"Typ",1,"Gd","Other","Fin","2","TA","TA","Y",120,48,0,0,0,0,"No","No fence","None",0,9,2009,189500,48,2.5,4
"80","RL",0,7750,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",8,5,2002,2002,"Other","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No","GLQ",353,"Unf",0,55,408,"GasA","Ex","Y","SBrkr",779,640,0,1419,1,0,2,1,3,1,"Other",7,"Typ",1,"TA","Other","Fin","2","TA","TA","Y",120,0,0,0,0,0,"No","No fence","None",0,3,2009,184100,0,3.5,7
"60","RL",61,10125,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","Other","Unf",0,"Unf",0,846,846,"GasA","Ex","Y","SBrkr",846,748,0,1594,0,0,2,1,3,1,"Other",7,"Typ",1,"Gd","Attchd","Fin","2","TA","TA","Y",300,48,0,0,0,0,"No","Other","None",0,7,2009,195500,48,2.5,5
"60","RL",0,8965,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No","GLQ",652,"Unf",0,130,782,"GasA","Ex","Y","SBrkr",806,683,0,1489,1,0,2,1,3,1,"Other",8,"Typ",1,"Gd","Attchd","Fin","2","TA","TA","Y",0,75,0,0,0,0,"No","No fence","None",0,6,2009,192000,75,3.5,6
"60","RL",0,8174,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No","GLQ",494,"Unf",0,204,698,"GasA","Ex","Y","SBrkr",698,644,0,1342,1,0,2,1,3,1,"Other",7,"Typ",1,"TA","Attchd","Fin","2","TA","TA","Y",100,56,0,0,0,0,"No","No fence","None",0,5,2009,178000,56,3.5,6
"120","RL",34,5063,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","Other","1Story",7,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","Other",166,"Other","TA","PConc","Gd","TA","No","GLQ",904,"Unf",0,410,1314,"GasA","Ex","Y","SBrkr",1314,0,0,1314,1,0,2,0,2,1,"Other",6,"Typ",1,"Gd","Attchd","RFn","2","TA","TA","Y",172,62,0,0,0,0,"No","No fence","None",0,4,2009,207500,62,3,1
"60","RL",0,8795,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",7,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No","GLQ",300,"Unf",0,652,952,"GasA","Ex","Y","SBrkr",980,1276,0,2256,0,0,2,1,4,1,"Other",8,"Typ",1,"TA","Other","Fin","2","TA","TA","Y",224,54,0,0,0,0,"No","No fence","None",0,4,2009,236000,54,2.5,9
"60","RL",0,12891,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","Gilbert","Norm","Norm","1Fam","Other",8,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Other","TA","No","GLQ",651,"Unf",0,219,870,"GasA","Ex","Y","SBrkr",878,1126,0,2004,1,0,2,1,4,1,"Other",8,"Typ",1,"Gd","Other","Fin","Other","TA","TA","Y",0,48,0,0,0,0,"No","No fence","None",0,7,2009,257500,48,3.5,7
"60","RL",0,12224,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","Gilbert","Norm","Norm","1Fam","Other",6,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","Other",40,"Other","TA","PConc","Gd","TA","No","GLQ",695,"Unf",0,297,992,"GasA","Ex","Y","SBrkr",1022,1032,0,2054,1,0,2,1,3,1,"Other",7,"Typ",1,"TA","Other","RFn","2","TA","TA","Y",24,48,0,0,0,0,"No","No fence","None",0,7,2009,244000,48,3.5,9
"80","RL",61,9734,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Other","Norm","1Fam","Other",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","Other","GLQ",241,"Other",113,30,384,"GasA","Ex","Y","SBrkr",744,630,0,1374,0,0,2,1,3,1,"Other",7,"Typ",0,"No fireplace","Other","Fin","2","TA","TA","Y",0,0,0,0,0,0,"No","No fence","None",0,5,2009,167000,0,2.5,5
"60","RL",60,8123,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Other","Norm","1Fam","Other",6,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","Other",16,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,982,982,"GasA","Ex","Y","SBrkr",1007,793,0,1800,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd","Fin","2","TA","TA","Y",100,63,0,0,0,0,"No","No fence","None",0,6,2009,179000,63,2.5,9
"60","RL",42,8433,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",6,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",683,"Unf",0,111,794,"GasA","Ex","Y","SBrkr",819,695,0,1514,1,0,2,1,3,1,"TA",7,"Typ",1,"TA","Attchd","Fin","2","TA","TA","Y",0,72,0,0,0,0,"No","No fence","None",0,6,2009,190000,72,3.5,9
"80","RL",62,7750,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",7,5,1999,2000,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,384,384,"GasA","Ex","Y","SBrkr",774,656,0,1430,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Other","RFn","2","TA","TA","Y",0,0,0,0,0,0,"No","No fence","None",0,3,2009,156000,0,2.5,9
"60","RL",0,15896,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","Gilbert","Other","Norm","1Fam","Other",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","Other",210,"Other","TA","PConc","Gd","TA","No","ALQ",913,"Unf",0,264,1177,"GasA","Ex","Y","SBrkr",1223,1089,0,2312,1,0,2,1,4,1,"Other",8,"Typ",1,"TA","Other","Fin","Other","TA","TA","Y",298,0,0,0,0,0,"No","No fence","None",0,5,2009,245000,0,3.5,10
"60","RL",0,24682,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","Gilbert","Other","Norm","1Fam","Other",6,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,841,841,"GasA","Ex","Y","SBrkr",892,783,0,1675,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Other","Fin","2","TA","TA","Y",0,103,0,0,0,0,"No","No fence","None",0,6,2009,181000,103,2.5,10
"60","RL",0,8755,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","Gilbert","Other","Norm","1Fam","Other",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","Other",298,"Other","TA","PConc","Gd","TA","No","ALQ",772,"Unf",0,220,992,"GasA","Ex","Y","SBrkr",1022,1038,0,2060,1,0,2,1,3,1,"Other",8,"Typ",1,"TA","Other","RFn","2","TA","TA","Y",0,0,0,168,0,0,"No","Other","None",0,6,2009,214000,168,3.5,10
"80","RL",64,7848,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","Other",7,6,1999,1999,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,384,384,"GasA","Ex","Y","SBrkr",774,656,0,1430,0,0,2,1,3,1,"TA",7,"Typ",1,"TA","Other","Fin","2","TA","TA","Y",0,0,0,0,0,0,"No","No fence","None",0,6,2009,168000,0,2.5,10
"60","RL",82,9430,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","Other",8,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","Other",673,"Other","TA","PConc","Gd","TA","Other","GLQ",1163,"Unf",0,89,1252,"GasA","Ex","Y","SBrkr",1268,1097,0,2365,1,0,2,1,3,1,"Other",8,"Typ",1,"Gd","Attchd","RFn","Other","TA","TA","Y",0,128,0,0,180,0,"No","No fence","None",0,7,2009,337000,308,3.5,10
"60","RL",174,15138,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","Other",8,5,1995,1996,"Gable","CompShg","VinylSd","VinylSd","Other",506,"Other","TA","PConc","Gd","TA","No","GLQ",689,"Unf",0,773,1462,"GasA","Ex","Y","SBrkr",1490,1304,0,2794,1,0,2,1,4,1,"Other",9,"Typ",1,"TA","Attchd","Fin","Other","TA","TA","Y",0,146,202,0,0,0,"No","No fence","None",0,7,2009,403000,348,3.5,13
"60","RL",106,12720,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","Other",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","Other",150,"Other","TA","PConc","Gd","TA","Other","GLQ",1173,"Unf",0,282,1455,"GasA","Ex","Y","SBrkr",1466,1221,0,2687,1,0,2,1,4,1,"Other",10,"Typ",2,"TA","Other","RFn","Other","TA","TA","Y",252,30,0,0,0,0,"No","No fence","None",0,9,2009,327000,30,3.5,9
"60","RL",0,16545,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","Other",8,5,1998,1998,"Gable","CompShg","VinylSd","VinylSd","Other",731,"Other","TA","PConc","Gd","TA","Other","GLQ",781,"Unf",0,503,1284,"GasA","Ex","Y","SBrkr",1310,1140,0,2450,1,0,2,1,3,1,"Other",7,"Typ",1,"TA","Attchd","Fin","Other","TA","TA","Y",0,126,0,0,0,0,"No","No fence","None",0,5,2009,340000,126,3.5,11
"60","RL",98,12203,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","NoRidge","Norm","Norm","1Fam","Other",8,5,1998,1999,"Other","CompShg","VinylSd","VinylSd","Other",975,"Other","TA","PConc","Gd","TA","No","GLQ",854,"Unf",0,371,1225,"GasA","Ex","Y","SBrkr",1276,1336,0,2612,1,0,2,1,4,1,"Other",8,"Typ",1,"TA","Attchd","Fin","Other","TA","TA","Y",250,0,0,0,0,0,"No","No fence","None",0,7,2009,336000,0,3.5,10
"60","RL",79,10208,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","Other",7,5,1996,1997,"Gable","CompShg","VinylSd","VinylSd","Other",921,"Other","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1264,1264,"GasA","Ex","Y","SBrkr",1277,1067,0,2344,0,0,2,1,3,1,"Other",7,"Typ",1,"TA","Attchd","RFn","Other","TA","TA","Y",220,0,0,0,0,0,"No","No fence","None",0,7,2009,265000,0,2.5,12
"20","RL",0,10750,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","NoRidge","Norm","Norm","1Fam","1Story",8,5,1994,1995,"Other","CompShg","Wd Sdng","Wd Sdng","Other",634,"Other","TA","PConc","Gd","TA","Other","BLQ",236,"Other",1526,262,2024,"GasA","Ex","Y","SBrkr",2063,0,0,2063,1,0,2,0,3,1,"Other",7,"Typ",2,"Gd","Attchd","Fin","Other","TA","TA","Y",182,56,0,0,0,0,"No","No fence","None",0,6,2009,315000,56,3,14
"60","RL",90,9900,"Pave","No alley","Reg","Other","AllPub","Inside","Other","NoRidge","Norm","Norm","1Fam","Other",7,5,1993,1993,"Gable","CompShg","HdBoard","HdBoard","Other",256,"Other","TA","PConc","Gd","TA","Other","GLQ",987,"Unf",0,360,1347,"GasA","Ex","Y","SBrkr",1372,1274,0,2646,1,0,2,1,4,1,"Other",9,"Typ",1,"TA","Attchd","RFn","Other","TA","TA","Y",340,60,144,0,0,0,"No","No fence","None",0,4,2009,260000,204,3.5,16
"60","RL",79,9085,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","Other",7,5,1995,1996,"Gable","CompShg","VinylSd","VinylSd","Other",286,"Other","TA","PConc","Gd","TA","No","GLQ",816,"Unf",0,254,1070,"GasA","Ex","Y","SBrkr",1094,967,0,2061,1,0,2,1,3,1,"Other",7,"Typ",1,"TA","Attchd","Fin","2","TA","TA","Y",296,102,209,0,0,0,"No","No fence","None",0,11,2009,260000,311,3.5,13
"60","RL",0,11692,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","NoRidge","Norm","Norm","1Fam","Other",8,5,1993,1994,"Gable","CompShg","HdBoard","HdBoard","Other",372,"Other","TA","PConc","Gd","TA","No","GLQ",624,"Unf",0,549,1173,"GasA","Ex","Y","SBrkr",1215,1017,0,2232,1,0,2,1,3,1,"Other",8,"Typ",1,"TA","Attchd","RFn","2","TA","TA","Y",173,165,0,0,0,0,"No","No fence","None",0,10,2009,263550,165,3.5,15
"60","RL",52,46589,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","NoRidge","Norm","Norm","1Fam","Other",8,7,1994,2005,"Other","CompShg","VinylSd","VinylSd","Other",528,"Other","TA","PConc","Gd","Other","No","GLQ",1361,"Other",180,88,1629,"GasA","Ex","Y","SBrkr",1686,762,0,2448,1,0,2,1,4,1,"Other",8,"Typ",1,"TA","Attchd","RFn","Other","TA","TA","Y",517,76,0,0,0,0,"No","No fence","None",0,7,2009,402000,76,3.5,4
"60","RL",0,29959,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","NoRidge","Norm","Norm","1Fam","Other",7,6,1994,1994,"Gable","CompShg","HdBoard","HdBoard","None",0,"Other","TA","PConc","Gd","TA","No","GLQ",595,"Unf",0,378,973,"GasA","Ex","Y","SBrkr",979,871,0,1850,0,0,2,1,3,1,"Other",7,"Typ",1,"Gd","Other","Fin","2","TA","TA","Y",168,98,0,0,0,0,"No","No fence","None",0,1,2009,248000,98,2.5,15
"20","RL",86,11194,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Somerst","Other","Norm","1Fam","1Story",8,5,2008,2008,"Gable","CompShg","VinylSd","VinylSd","Other",240,"Other","TA","PConc","Gd","TA","Other","Unf",0,"Unf",0,1696,1696,"GasA","Ex","Y","SBrkr",1696,0,0,1696,0,0,2,0,3,1,"Other",7,"Typ",0,"No fireplace","Attchd","RFn","Other","TA","TA","Y",120,56,0,0,0,0,"No","No fence","None",0,9,2009,275000,56,2,1
"20","RL",78,10206,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Other","Norm","1Fam","1Story",8,5,2008,2008,"Gable","CompShg","VinylSd","VinylSd","Other",294,"Other","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1614,1614,"GasA","Ex","Y","SBrkr",1658,0,0,1658,0,0,2,1,3,1,"Other",7,"Typ",1,"Gd","Attchd","Fin","Other","TA","TA","Y",144,44,0,0,0,0,"No","No fence","None",0,9,2009,257500,44,2.5,1
"20","RL",85,10130,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Other",260,"Other","TA","PConc","Gd","TA","Other","GLQ",1294,"Unf",0,408,1702,"GasA","Ex","Y","SBrkr",1702,0,0,1702,1,0,2,0,3,1,"Other",7,"Typ",1,"Gd","Attchd","RFn","Other","TA","TA","Y",0,69,0,0,0,0,"No","No fence","None",0,3,2009,275500,69,3,2
"20","RL",76,9139,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2006,2006,"Other","CompShg","VinylSd","VinylSd","Other",206,"Other","TA","PConc","Other","TA","Other","GLQ",379,"Unf",0,1043,1422,"GasA","Ex","Y","SBrkr",1432,0,0,1432,0,0,2,0,3,1,"Other",7,"Typ",1,"Gd","Attchd","Fin","2","TA","TA","Y",297,50,0,0,0,0,"No","No fence","None",0,9,2009,245000,50,2,3
"60","RL",75,9675,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","Other",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","Other","GLQ",341,"Unf",0,772,1113,"GasA","Ex","Y","SBrkr",1113,858,0,1971,0,0,2,1,3,1,"Other",8,"Typ",1,"Gd","Attchd","RFn","2","TA","TA","Y",0,48,0,0,0,0,"No","No fence","None",0,2,2009,253000,48,2.5,4
"20","RL",85,11128,"Pave","No alley","Reg","Lvl","AllPub","Other","Gtl","Somerst","Other","Other","1Fam","1Story",9,5,2005,2006,"Other","CompShg","VinylSd","VinylSd","Other",198,"Other","TA","PConc","Other","TA","Other","GLQ",2158,"Unf",0,300,2458,"GasA","Ex","Y","SBrkr",2490,0,0,2490,1,0,2,0,2,1,"Other",9,"Typ",2,"Gd","Attchd","Fin","Other","TA","TA","Y",70,226,0,0,0,0,"No","Other","None",0,10,2009,468000,226,3,3
"20","RL",80,9605,"Pave","No alley","Reg","Lvl","AllPub","Other","Gtl","SawyerW","Norm","Norm","1Fam","1Story",7,6,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1218,1218,"GasA","Ex","Y","SBrkr",1218,0,0,1218,0,0,1,1,3,1,"Other",6,"Typ",0,"No fireplace","Other","RFn","2","TA","TA","Y",0,178,0,0,0,0,"No","No fence","None",0,4,2009,159000,178,1.5,2
"20","RL",63,7500,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","Other","No","GLQ",54,"Unf",0,1087,1141,"GasA","Ex","Y","SBrkr",1141,0,0,1141,1,0,1,1,3,1,"Other",6,"Typ",0,"No fireplace","Other","RFn","2","TA","TA","Y",182,0,0,0,0,0,"No","No fence","None",0,6,2009,152000,0,2.5,3
"20","RL",63,7500,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1Story",6,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1158,1158,"GasA","Ex","Y","SBrkr",1158,0,0,1158,0,0,1,1,3,1,"Other",5,"Typ",0,"No fireplace","Other","Other","Other","Other","Other","Y",0,50,0,0,0,0,"No","No fence","None",0,8,2009,143500,50,1.5,5
"60","RL",96,10628,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","SawyerW","Norm","Norm","1Fam","Other",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","Other","Unf",0,"Unf",0,835,835,"GasA","Ex","Y","SBrkr",871,941,0,1812,0,0,2,1,3,1,"Other",8,"Typ",0,"No fireplace","Other","RFn","2","TA","TA","Y",146,91,0,0,0,0,"No","No fence","None",0,1,2009,193000,91,2.5,5
"20","RL",76,10141,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1Story",8,5,2004,2004,"Gable","Other","VinylSd","VinylSd","Other",264,"Other","TA","PConc","Gd","TA","Other","BLQ",516,"Other",774,222,1512,"GasA","Ex","Y","SBrkr",1512,0,0,1512,0,0,2,0,3,1,"Other",6,"Typ",0,"No fireplace","Attchd","RFn","Other","TA","TA","Y",210,36,0,0,0,0,"No","No fence","None",0,1,2009,203000,36,2,5
"20","RL",67,10083,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No","GLQ",833,"Unf",0,343,1176,"GasA","Ex","Y","SBrkr",1200,0,0,1200,1,0,2,0,2,1,"Other",5,"Typ",0,"No fireplace","Attchd","RFn","2","TA","TA","Y",0,41,0,0,0,0,"No","No fence","None",0,8,2009,184900,41,3,6
"20","RL",63,13072,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Other","Norm","1Fam","1Story",7,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1114,1114,"GasA","Ex","Y","SBrkr",1114,0,0,1114,0,0,1,1,3,1,"Other",6,"Typ",0,"No fireplace","Other","Unf","2","TA","TA","Y",248,102,0,0,0,0,"No","No fence","None",0,5,2009,159000,102,1.5,4
"20","RL",63,13072,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Other","Norm","1Fam","1Story",5,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1114,1114,"GasA","Ex","Y","SBrkr",1114,0,0,1114,0,0,1,1,3,1,"Other",6,"Typ",0,"No fireplace","Other","Other","Other","Other","Other","Y",0,39,0,0,0,0,"No","No fence","None",0,8,2009,142000,39,1.5,5
"20","RL",60,12450,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Other","Norm","1Fam","1Story",5,5,2003,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",836,"Unf",0,278,1114,"GasA","Ex","Y","SBrkr",1114,0,0,1114,1,0,2,0,3,1,"Other",6,"Typ",0,"No fireplace","Other","Unf","2","TA","TA","Y",0,42,0,0,0,0,"No","No fence","None",0,6,2009,153000,42,3,5
"60","RL",43,11492,"Pave","No alley","Other","Lvl","AllPub","Other","Gtl","SawyerW","Norm","Norm","1Fam","Other",7,5,1996,1997,"Gable","CompShg","VinylSd","VinylSd","Other",132,"Other","TA","PConc","Gd","TA","No","GLQ",637,"Unf",0,276,913,"GasA","Ex","Y","SBrkr",913,1209,0,2122,1,0,2,1,4,1,"Other",8,"Typ",1,"TA","Attchd","RFn","2","TA","TA","Y",0,74,0,0,0,0,"No","No fence","None",0,4,2009,220000,74,3.5,12
"20","RL",65,8529,"Pave","No alley","Other","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","1Story",7,5,2001,2001,"Gable","CompShg","VinylSd","VinylSd","None",0,"Other","TA","PConc","Gd","TA","No","GLQ",20,"Unf",0,1434,1454,"GasA","Ex","Y","SBrkr",1434,0,0,1434,0,0,2,0,3,1,"Other",6,"Typ",1,"TA","Attchd","RFn","2","TA","TA","Y",290,39,0,0,0,0,"No","No fence","None",0,4,2009,189000,39,2,8
"60","RL",70,7703,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","Other",6,6,1992,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,"Other","Other","PConc","Gd","Other","No","GLQ",52,"Other",364,400,816,"GasA","Ex","Y","SBrkr",833,897,0,1730,0,0,2,1,3,1,"Other",6,"Typ",0,"No fireplace","Attchd","RFn","2","TA","TA","Y",0,91,0,0,168,0,"No","No fence","None",0,11,2009,171500,259,2.5,17
"160","RL",75,10762,"Pave","No alley","Reg","Lvl","AllPub","Other","Gtl","SawyerW","Norm","Norm","Other","Other",6,6,1980,1980,"Gable","CompShg","Plywood","Plywood","None",0,"TA","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,626,626,"GasA","TA","Y","SBrkr",626,591,0,1217,0,0,1,1,3,1,"TA",6,"Typ",1,"TA","Attchd","RFn","Other","TA","TA","Y",0,28,0,0,0,0,"No","No fence","None",0,4,2009,120000,28,1.5,29
"120","RL",50,7175,"Pave","No alley","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","Other","1Story",6,5,1990,1991,"Gable","CompShg","Plywood","ImStucc","None",0,"Other","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1332,1332,"GasA","Other","Y","SBrkr",1332,0,0,1332,0,0,2,0,2,1,"Other",5,"Typ",0,"No fireplace","Attchd","RFn","2","TA","TA","Y",0,60,0,0,0,0,"No","No fence","None",0,2,2009,145000,60,2,18
